Program Kodu;Üniversite Türü;Üniversite Adý;Fakülte/Yüksekokul Adý;Program Adý;Puan Türü;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan
105710281;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Beslenme ve Diyetetik;SAY;27;27;344.75041;375.86967
105710333;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Fizyoterapi ve Rehabilitasyon;SAY;60;60;336.20583;396.74444
105710024;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Hemþirelik;SAY;160;160;378.48043;420.79259
105761091;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Saðlýk Bilimleri Fakültesi;Sosyal Hizmet;EA;30;30;313.95044;355.4953
105761186;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sanat ve Tasarým Fakültesi;Görsel Ýletiþim Tasarýmý;SÖZ;35;35;349.11828;377.42155
105761242;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Bilgi Güvenliði Teknolojisi;SAY;30;30;344.00529;394.4415
105761089;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Bilgi ve Belge Yönetimi;EA;65;66;281.34645;328.9164
105761031;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Coðrafya;SÖZ;40;41;316.55022;339.66091
105710209;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Felsefe;EA;35;36;272.63127;337.51035
105761193;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Ýngiliz Dili ve Edebiyatý (Ýngilizce);DÝL;40;40;410.42437;437.53873
105710193;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Medya ve Ýletiþim;SÖZ;80;80;329.50444;377.62958
105710299;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Psikoloji;EA;50;50;384.01093;397.99119
105710227;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Sosyoloji;EA;30;31;301.46489;368.90392
105710218;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Tarih;SÖZ;30;31;330.53573;402.2238
105710263;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Türk Dili ve Edebiyatý;SÖZ;30;31;327.49519;383.76914
105710272;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Sosyal ve Beþeri Bilimler Fakültesi;Türk Ýslam Arkeolojisi;EA;30;31;255.8594;304.38979
105710033;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Su Ürünleri Fakültesi;Su Ürünleri Mühendisliði;SAY;35;36;265.59035;295.55328
105710015;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Týp Fakültesi;Týp;SAY;215;215;499.1976;508.42523
105710245;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Týp Fakültesi;Týp (KKTC Uyruklu);SAY;1;0;;
105761066;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Turizm Fakültesi;Gastronomi ve Mutfak Sanatlarý;SÖZ;40;40;371.74203;396.11029
105710139;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Turizm Fakültesi;Turizm Rehberliði;DÝL;65;67;381.66922;414.04526
105761249;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Turizm Fakültesi;Turizm ve Gastronomi Yönetimi Programlarý (Ýngilizce);EA;30;30;309.16219;321.72267
105710069;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Diþ Hekimliði Fakültesi;Diþ Hekimliði (Ýngilizce);SAY;40;40;469.99137;475.41577
105710324;DEVLET;ÝZMÝR KATÝP ÇELEBÝ ÜNÝVERSÝTESÝ;Diþ Hekimliði Fakültesi;Diþ Hekimliði;SAY;40;40;472.25691;475.21588
Bu rapor opradox ile oluþturuldu - opradox.app;;;;;;;;;
